Year;Month;DayofMonth;DayOfWeek;DepTime;CRSDepTime;ArrTime;CRSArrTime;UniqueCarrier;FlightNum;TailNum;ActualElapsedTime;CRSElapsedTime;AirTime;ArrDelay;DepDelay;Origin;Dest;Distance;TaxiIn;TaxiOut;Cancelled;CancellationCode;Diverted;CarrierDelay;WeatherDelay;NASDelay;SecurityDelay;LateAircraftDelay
1987;10;9;5;1606;1505;1708;1608;PS;1453;NA;62;63;NA;60;61;BUR;OAK;325;NA;NA;0;NA;0;NA;NA;NA;NA;NA
1987;10;2;5;1635;1635;1737;1732;PS;1454;NA;62;57;NA;5;0;OAK;BUR;325;NA;NA;0;NA;0;NA;NA;NA;NA;NA
1987;10;19;1;1834;1830;1944;1929;PS;1460;NA;70;59;NA;15;4;OAK;BUR;325;NA;NA;0;NA;0;NA;NA;NA;NA;NA
1987;10;24;6;1210;1210;1328;1322;PS;1478;NA;78;72;NA;6;0;OAK;SAN;446;NA;NA;0;NA;0;NA;NA;NA;NA;NA
1987;10;30;5;2002;1950;2128;2112;PS;1484;NA;86;82;NA;16;12;SFO;SAN;447;NA;NA;0;NA;0;NA;NA;NA;NA;NA
1989;1;12;4;2026;2035;2108;2109;UA;184;NA;42;34;NA;-1;-9;LIH;HNL;102;NA;NA;0;NA;0;NA;NA;NA;NA;NA
1989;1;5;4;707;625;1023;951;UA;184;NA;136;146;NA;32;42;SFO;DEN;967;NA;NA;0;NA;0;NA;NA;NA;NA;NA
1989;1;27;5;1738;1740;1824;1820;UA;185;NA;46;40;NA;4;-2;HNL;LIH;102;NA;NA;0;NA;0;NA;NA;NA;NA;NA
1989;1;31;2;1746;1740;1842;1820;UA;185;NA;56;40;NA;22;6;HNL;LIH;102;NA;NA;0;NA;0;NA;NA;NA;NA;NA
1989;1;26;4;1326;1325;2026;2005;UA;188;NA;300;280;NA;21;1;OGG;SFO;2338;NA;NA;0;NA;0;NA;NA;NA;NA;NA
1987;11;8;7;1613;1610;1632;1630;PI;944;NA;19;20;NA;2;3;UCA;SYR;37;NA;NA;0;NA;0;NA;NA;NA;NA;NA
1987;11;6;5;2101;2027;2153;2112;PI;955;NA;52;45;NA;41;34;SYR;BTV;175;NA;NA;0;NA;0;NA;NA;NA;NA;NA
1987;11;3;2;659;700;914;925;PS;1400;NA;135;145;NA;-11;-1;SEA;LAX;954;NA;NA;0;NA;0;NA;NA;NA;NA;NA
1987;11;2;1;1047;1046;1148;1147;PS;1417;NA;61;61;NA;1;1;LAX;SJC;308;NA;NA;0;NA;0;NA;NA;NA;NA;NA
1987;11;3;2;1910;1910;2018;2024;PS;1427;NA;68;74;NA;-6;0;BUR;SFO;326;NA;NA;0;NA;0;NA;NA;NA;NA;NA
1989;3;31;5;1855;1855;2127;2143;UA;265;NA;152;168;NA;-16;0;ORD;HOU;945;NA;NA;0;NA;0;NA;NA;NA;NA;NA
1989;3;16;4;1740;1740;2032;2029;UA;268;NA;112;109;NA;3;0;ORD;ORF;717;NA;NA;0;NA;0;NA;NA;NA;NA;NA
1989;3;11;6;1050;1050;1609;1615;UA;270;NA;199;205;NA;-6;0;DEN;PHL;1557;NA;NA;0;NA;0;NA;NA;NA;NA;NA
1989;3;12;7;1510;1430;1755;1725;UA;272;NA;105;115;NA;30;40;ORD;EWR;719;NA;NA;0;NA;0;NA;NA;NA;NA;NA
1989;3;31;5;859;900;1103;1111;UA;277;NA;244;251;NA;-8;-1;MIA;DEN;1709;NA;NA;0;NA;0;NA;NA;NA;NA;NA
1987;10;5;1;NA;1330;NA;1421;PS;1933;NA;NA;51;NA;NA;NA;LAS;LAX;236;NA;NA;1;NA;0;NA;NA;NA;NA;NA
1987;10;1;4;NA;630;NA;752;TW;247;NA;NA;142;NA;NA;NA;EWR;STL;872;NA;NA;1;NA;0;NA;NA;NA;NA;NA
1987;10;27;2;NA;1640;NA;1804;TW;375;NA;NA;144;NA;NA;NA;DCA;STL;719;NA;NA;1;NA;0;NA;NA;NA;NA;NA
1987;10;19;1;NA;1010;NA;1609;UA;938;NA;NA;239;NA;NA;NA;SJC;ORD;1829;NA;NA;1;NA;0;NA;NA;NA;NA;NA
1987;10;14;3;NA;1210;NA;1429;EA;722;NA;NA;139;NA;NA;NA;MCO;JFK;944;NA;NA;1;NA;0;NA;NA;NA;NA;NA
1987;10;12;1;NA;1745;NA;2029;EA;756;NA;NA;164;NA;NA;NA;FLL;LGA;1076;NA;NA;1;NA;0;NA;NA;NA;NA;NA
1989;1;1;7;NA;950;NA;1109;UA;311;NA;NA;79;NA;NA;NA;ORD;MCI;403;NA;NA;1;NA;0;NA;NA;NA;NA;NA
1989;1;31;2;NA;1855;NA;2050;UA;387;NA;NA;115;NA;NA;NA;ORD;FAR;557;NA;NA;1;NA;0;NA;NA;NA;NA;NA
1989;1;18;3;NA;840;NA;1030;UA;452;NA;NA;110;NA;NA;NA;OKC;ORD;693;NA;NA;1;NA;0;NA;NA;NA;NA;NA
1989;1;25;3;NA;1955;NA;2246;UA;468;NA;NA;111;NA;NA;NA;ORD;CAE;666;NA;NA;1;NA;0;NA;NA;NA;NA;NA
1989;1;20;5;NA;1450;NA;1606;UA;615;NA;NA;76;NA;NA;NA;ORD;MSP;334;NA;NA;1;NA;0;NA;NA;NA;NA;NA
1989;1;28;6;NA;1519;NA;1754;UA;690;NA;NA;95;NA;NA;NA;DEN;DSM;589;NA;NA;1;NA;0;NA;NA;NA;NA;NA